iso3c,animal,system,product,animals,kg_n_yr,managed_em,managed_spread_em,spread_em,leftonfield_em,total_manure_CO2_em
KHM,cows,mixed,meat,2491531.556427808,29.81,870978.3451123942,772960.4554702229,0,700284.0965727792,698578.4233523081
KIR,cows,mixed,meat,0,46.58625,0,0,0,0,0
KNA,cows,mixed,meat,1451.6195068359373,34.01416666666667,517.2555504433008,489.37521634699465,0,614.5149568005615,483.10142563007537
KOR,cows,mixed,meat,3202055.425506592,46.36,1740809.5541436265,1544902.8709021865,0,1399645.8726782927,1396236.7727217835
KWT,cows,mixed,meat,17018.29444360733,34.52,6889.152677459938,6113.863359813127,0,5539.017228108493,5525.525913083704
LAO,cows,mixed,meat,1803170.4743862618,34.12,721480.8350725911,640287.0496381655,0,580085.0935257014,578672.1875144645
LBN,cows,mixed,meat,19042.803651809692,36.5,8150.847040575624,7233.569555783206,0,6553.444856744221,6537.4827130247095
LBR,cows,mixed,meat,30907.711764236803,30.13,10920.561638004532,9691.586874772816,0,8780.351065732288,8758.964874395871
LBY,cows,mixed,meat,61885.82302321505,27.86,20218.608939724298,17943.2534261307,0,16256.16799173813,16216.573046562751
LCA,cows,mixed,meat,10055.963256835938,35.13,3700.789269706741,3501.3148683764475,0,4396.647568600823,3456.4280085918354
LIE,cows,mixed,meat,2438.669677734375,58.67,1120.779457346198,1660.399522064764,0,1052.2272985175643,1142.3550708227008
LKA,cows,mixed,meat,650659.8520698547,28.46,173723.22464789468,173272.76643724984,0,139676.96454102086,145028.54077659728
LSO,cows,mixed,meat,126115.12142562866,23.95,35420.25385273281,31434.140360109937,0,28478.596062498746,28409.231102051763
LTU,cows,mixed,meat,384976.82771676313,62.07,248215.48115727399,269468.74374622846,0,171228.4095271993,205295.96506034912
LUX,cows,mixed,meat,109063.56744384766,60.92,33344.81846275291,57940.247650693374,0,125289.73339795062,64539.29025439628
LVA,cows,mixed,meat,226322.3796081543,61.34,108988.24373687447,123488.20984482064,0,243984.97126707985,141985.50460493492
MAC,cows,mixed,meat,28.147838592529293,37.94166666666667,12.523924635968717,11.114511107212337,0,10.069487144497462,10.044961020528199
MAF,cows,mixed,meat,138.00540161132812,34.01416666666667,0,0,105.48400320496368,0,31.434232955079178
MAR,cows,mixed,meat,1112777.475306215,23.78,310312.42535426427,275390.5823099992,0,249497.42742051402,248889.72965526368
MCO,cows,mixed,meat,0,62.151250000000005,0,0,0,0,0
MDA,cows,mixed,meat,62451.52791786194,47.4,27793.721149880614,34753.590975535844,0,13062.104635870854,22531.60619486362
