site_no_,comp_name,cert_name,farm_name,species__c,type_of_certification__c,cert_country,farm_species,geom,,,,,
S0000451,IFB Agro Industries Limited,IFB Agro Industries Limited,Sefali Das,Shrimp,Multi Site without IMS,India,Litopenaeus vannamei (Whiteleg shrimp),POINT (87.69385 21.84928),,,,,
S0000452,IFB Agro Industries Limited,IFB Agro Industries Limited,Sanjib Jana,Shrimp,Multi Site without IMS,India,Litopenaeus vannamei (Whiteleg shrimp),POINT (87.68781 21.83582),,,,,
S0000453,IFB Agro Industries Limited,IFB Agro Industries Limited,Sukumar Jana,Shrimp,Multi Site without IMS,India,Litopenaeus vannamei (Whiteleg shrimp),POINT (87.68659 21.83489),,,,,
S0000454,IFB Agro Industries Limited,IFB Agro Industries Limited,Nabakumar Kala,Shrimp,Multi Site without IMS,India,Litopenaeus vannamei (Whiteleg shrimp),POINT (87.68526 21.83874),,,,,
S0000455,IFB Agro Industries Limited,IFB Agro Industries Limited,Kartik Guria,Shrimp,Multi Site without IMS,India,Litopenaeus vannamei (Whiteleg shrimp),POINT (87.68526 21.83874),,,,,
S0000456,IFB Agro Industries Limited,IFB Agro Industries Limited,Prasanta Mondal,Shrimp,Multi Site without IMS,India,Litopenaeus vannamei (Whiteleg shrimp),POINT (87.68738 21.83637),,,,,
S0000457,IFB Agro Industries Limited,IFB Agro Industries Limited,Subimal Khutia,Shrimp,Multi Site without IMS,India,Litopenaeus vannamei (Whiteleg shrimp),POINT (87.69085 21.83302),,,,,
S0000458,IFB Agro Industries Limited,IFB Agro Industries Limited,Paritosh Khutia,Shrimp,Multi Site without IMS,India,Litopenaeus vannamei (Whiteleg shrimp),POINT (87.69151 21.83606),,,,,
S0000459,IFB Agro Industries Limited,IFB Agro Industries Limited,Bablu Mandal,Shrimp,Multi Site without IMS,India,Litopenaeus vannamei (Whiteleg shrimp),POINT (87.69151 21.83606),,,,,
S0000460,IFB Agro Industries Limited,IFB Agro Industries Limited,Sitanshu Jana,Shrimp,Multi Site without IMS,India,Litopenaeus vannamei (Whiteleg shrimp),POINT (87.68812 21.83564),,,,,
S0000461,IFB Agro Industries Limited,IFB Agro Industries Limited,Sibsanakr Sahoo,Shrimp,Multi Site without IMS,India,Litopenaeus vannamei (Whiteleg shrimp),POINT (87.68378 21.83924),,,,,
S0000462,IFB Agro Industries Limited,IFB Agro Industries Limited,Anil Guria,Shrimp,Multi Site without IMS,India,Litopenaeus vannamei (Whiteleg shrimp),POINT (87.68164 21.83647),,,,,
S0000463,IFB Agro Industries Limited,IFB Agro Industries Limited,Arabinda Bera,Shrimp,Multi Site without IMS,India,Litopenaeus vannamei (Whiteleg shrimp),POINT (87.68772 21.83386),,,,,
S0000464,IFB Agro Industries Limited,IFB Agro Industries Limited,Manoranjan Khutia,Shrimp,Multi Site without IMS,India,Litopenaeus vannamei (Whiteleg shrimp),POINT (87.68875 21.83454),,,,,
S0000465,IFB Agro Industries Limited,IFB Agro Industries Limited,Sudhanshu Jana,Shrimp,Multi Site without IMS,India,Litopenaeus vannamei (Whiteleg shrimp),POINT (87.68696 21.83526),,,,,
S0000466,IFB Agro Industries Limited,IFB Agro Industries Limited,Sunirmal Payra,Shrimp,Multi Site without IMS,India,Litopenaeus vannamei (Whiteleg shrimp),POINT (87.68454 21.83475),,,,,
S0000467,IFB Agro Industries Limited,IFB Agro Industries Limited,Tarkeswar Payra,Shrimp,Multi Site without IMS,India,Litopenaeus vannamei (Whiteleg shrimp),POINT (87.68477 21.83482),,,,,
S0000468,IFB Agro Industries Limited,IFB Agro Industries Limited,Subhas Giri,Shrimp,Multi Site without IMS,India,Litopenaeus vannamei (Whiteleg shrimp),POINT (87.68332 21.83194),,,,,
S0000469,IFB Agro Industries Limited,IFB Agro Industries Limited,Sanjoy Guria,Shrimp,Multi Site without IMS,India,Litopenaeus vannamei (Whiteleg shrimp),POINT (87.6814 21.83651),,,,,
S0000470,IFB Agro Industries Limited,IFB Agro Industries Limited,Suprabhat Guria,Shrimp,Multi Site without IMS,India,Litopenaeus vannamei (Whiteleg shrimp),POINT (87.68234 21.83559),,,,,
S0000511,PT. Delta Guna Sukses,PT. Delta Guna Sukses,PT. Delta Guna Sukses,Shrimp,Single Site,Indonesia,Litopenaeus vannamei (Whiteleg shrimp),POINT (113.404261 -8.380153),,,,,
S0000512,Dac Loc Aqua – Culture Product Company Limited,Region for producing aqua-culture breeds in Xuan Hai,Dac Loc Farm,Shrimp,Single Site,Viet Nam,Litopenaeus vannamei (Whiteleg shrimp),POINT (109.231111 13.618889),,,,,
S0000520,Utxi Aquatic Products Processing Corporation,UTXI AQUATIC - Toan Thang cooperative farm,Mai Văn Đấu,Shrimp,Multi Site without IMS,Viet Nam,"Litopenaeus vannamei (Whiteleg shrimp), Penaeus monodon (Giant tiger prawn)",POINT (105.972622 9.423728),,,,,
S0000521,Utxi Aquatic Products Processing Corporation,UTXI AQUATIC - Toan Thang cooperative farm,Phạm Văn Mừng,Shrimp,Multi Site without IMS,Viet Nam,"Litopenaeus vannamei (Whiteleg shrimp), Penaeus monodon (Giant tiger prawn)",POINT (105.973031 9.422819),,,,,
S0000522,Utxi Aquatic Products Processing Corporation,UTXI AQUATIC - Toan Thang cooperative farm,Phan Hoàng Ảnh,Shrimp,Multi Site without IMS,Viet Nam,"Litopenaeus vannamei (Whiteleg shrimp), Penaeus monodon (Giant tiger prawn)",POINT (105.972619 9.414542),,,,,
S0000523,Utxi Aquatic Products Processing Corporation,UTXI AQUATIC - Toan Thang cooperative farm,Bùi Văn Thận,Shrimp,Multi Site without IMS,Viet Nam,"Litopenaeus vannamei (Whiteleg shrimp), Penaeus monodon (Giant tiger prawn)",POINT (105.972269 9.415903),,,,,
S0000524,Utxi Aquatic Products Processing Corporation,UTXI AQUATIC - Toan Thang cooperative farm,Trang Chí Huỳnh,Shrimp,Multi Site without IMS,Viet Nam,"Litopenaeus vannamei (Whiteleg shrimp), Penaeus monodon (Giant tiger prawn)",POINT (105.965817 9.398367),,,,,
S0000525,Utxi Aquatic Products Processing Corporation,UTXI AQUATIC - Toan Thang cooperative farm,Trang Hoàng Anh,Shrimp,Multi Site without IMS,Viet Nam,"Litopenaeus vannamei (Whiteleg shrimp), Penaeus monodon (Giant tiger prawn)",POINT (105.964914 9.401564),,,,,
S0000526,Utxi Aquatic Products Processing Corporation,UTXI AQUATIC - Toan Thang cooperative farm,Phan Hoàng Diệp,Shrimp,Multi Site without IMS,Viet Nam,"Litopenaeus vannamei (Whiteleg shrimp), Penaeus monodon (Giant tiger prawn)",POINT (105.972631 9.417522),,,,,
S0000527,Utxi Aquatic Products Processing Corporation,UTXI AQUATIC - Toan Thang cooperative farm,Trần Văn Dũng,Shrimp,Multi Site without IMS,Viet Nam,"Litopenaeus vannamei (Whiteleg shrimp), Penaeus monodon (Giant tiger prawn)",POINT (105.972481 9.417561),,,,,
S0000528,Utxi Aquatic Products Processing Corporation,UTXI AQUATIC - Toan Thang cooperative farm,Trương Văn Tó,Shrimp,Multi Site without IMS,Viet Nam,"Litopenaeus vannamei (Whiteleg shrimp), Penaeus monodon (Giant tiger prawn)",POINT (105.965844 9.397411),,,,,
S0000529,Utxi Aquatic Products Processing Corporation,UTXI AQUATIC - Toan Thang cooperative farm,Lê Ngọc Khởi,Shrimp,Multi Site without IMS,Viet Nam,"Litopenaeus vannamei (Whiteleg shrimp), Penaeus monodon (Giant tiger prawn)",POINT (105.973139 9.408767),,,,,
S0000530,Utxi Aquatic Products Processing Corporation,UTXI AQUATIC - Toan Thang cooperative farm,Trần Văn Đẹt,Shrimp,Multi Site without IMS,Viet Nam,"Litopenaeus vannamei (Whiteleg shrimp), Penaeus monodon (Giant tiger prawn)",POINT (105.972575 9.417136),,,,,
S0000531,Utxi Aquatic Products Processing Corporation,UTXI AQUATIC - Toan Thang cooperative farm,Vũ Trường Giang,Shrimp,Multi Site without IMS,Viet Nam,"Litopenaeus vannamei (Whiteleg shrimp), Penaeus monodon (Giant tiger prawn)",POINT (105.966892 9.398739),,,,,
S0000533,Merkur Co Ltd,I'm shrimp farm,I'm shrimp farm 3 Site,Shrimp,Multi Site with IMS,Thailand,Penaeus monodon (Giant tiger prawn),POINT (98.398417 8.965222),,,,,
S0000534,Merkur Co Ltd,I'm shrimp farm,I'm shrimp farm 4 Site,Shrimp,Multi Site with IMS,Thailand,Litopenaeus vannamei (Whiteleg shrimp),POINT (98.400083 8.970139),,,,,
S0000535,Merkur Co Ltd,I'm shrimp farm,I'm shrimp farm 5 Site,Shrimp,Multi Site with IMS,Thailand,Litopenaeus vannamei (Whiteleg shrimp),POINT (98.234389 8.726083),,,,,
S0000537,Grupo LAMAR- Inversiones Marinas del Lago,Agropecuaria Nava Serrada,La Macana,Shrimp,Single Site,Venezuela (Bolivarian Republic of),Litopenaeus vannamei (Whiteleg shrimp),POINT (-72.055717 9.910764),,,,,
S0000538,Grupo LAMAR- Inversiones Marinas del Lago,Aqua cultivos del Lago,Aqua cultivos del Lago,Shrimp,Single Site,Venezuela (Bolivarian Republic of),Litopenaeus vannamei (Whiteleg shrimp),POINT (-72.144308 9.839819),,,,,
S0000556,NTSF Seafoods,Duong Hoa Farm,Duong Hoa Farm,Shrimp,Single Site,Viet Nam,Litopenaeus vannamei (Whiteleg shrimp),POINT (104.587191 10.26798),,,,,
S0000558,"INDUSTRIAS MARINAS, S.A.",Industrias Marinas S.A.,Industrias Marinas S.A.,Shrimp,Single Site,Honduras,Litopenaeus vannamei (Whiteleg shrimp),POINT (-87.172578 13.094828),,,,,
S0000559,ELIZMAR S.A.,ELIZMAR S.A.,Elizmar farm,Shrimp,Single Site,Honduras,Litopenaeus vannamei (Whiteleg shrimp),POINT (-87.420875 13.347744),,,,,
S0000560,CULTIVADORA DE CAMARON S.A,Cultivadora de Camaron,Cultivadora de Camaron,Shrimp,Single Site,Honduras,Litopenaeus vannamei (Whiteleg shrimp),POINT (-87.436353 13.314647),,,,,
S0000561,Thai Union Group,TFM Satun,TFM Satun,Shrimp,Single Site,Thailand,Litopenaeus vannamei (Whiteleg shrimp),POINT (99.774 6.958694),,,,,
S0000563,Empagran,GRANMAR S.A. SITE,GRANMAR S.A. SITE,Shrimp,Single Site,Ecuador,Litopenaeus vannamei (Whiteleg shrimp),POINT (-80.270556 -2.667778),,,,,
S0000564,Southern shrimp joint stock company,Thanh Dat multi-sites,Trần Thanh Triều,Shrimp,Multi Site without IMS,Viet Nam,"Litopenaeus vannamei (Whiteleg shrimp), Penaeus monodon (Giant tiger prawn)",POINT (105.439833 9.167383),,,,,
S0000565,Southern shrimp joint stock company,Thanh Dat multi-sites,Liêu Phước Thành,Shrimp,Multi Site without IMS,Viet Nam,"Litopenaeus vannamei (Whiteleg shrimp), Penaeus monodon (Giant tiger prawn)",POINT (105.492425 9.165886),,,,,
S0000566,Southern shrimp joint stock company,Thanh Dat multi-sites,Hồ Văn Bá,Shrimp,Multi Site without IMS,Viet Nam,"Litopenaeus vannamei (Whiteleg shrimp), Penaeus monodon (Giant tiger prawn)",POINT (105.500375 9.141833),,,,,
S0000567,Southern shrimp joint stock company,Thanh Dat multi-sites,Trần Minh Ngọ,Shrimp,Multi Site without IMS,Viet Nam,"Litopenaeus vannamei (Whiteleg shrimp), Penaeus monodon (Giant tiger prawn)",POINT (105.470111 9.116461),,,,,
S0000568,Southern shrimp joint stock company,Thanh Dat multi-sites,Lê Hoàng Kiếm,Shrimp,Multi Site without IMS,Viet Nam,"Litopenaeus vannamei (Whiteleg shrimp), Penaeus monodon (Giant tiger prawn)",POINT (105.49245 9.154469),,,,,
S0000569,Kader Exports (P) Ltd,M/s Bindu Seafoods,M/s Bindu Seafoods (Farm Division),Shrimp,Single Site,India,Litopenaeus vannamei (Whiteleg shrimp),POINT (81.684111 16.513861),,,,,
S0000571,Soc Trang Seafood Joint Stock Company (Stapimex),NAM CHANH ECO,NAM CHANH ECO,Shrimp,Single Site,Viet Nam,Litopenaeus vannamei (Whiteleg shrimp),POINT (106.161389 9.423611),,,,,
S0000591,KF Foods Limited,Rachan Farm,Rachan Farm,Shrimp,Single Site,Thailand,Litopenaeus vannamei (Whiteleg shrimp),POINT (102.612222 12.291944),,,,,
S0000659,Soc Trang Seafood Joint Stock Company (Stapimex),Hoa Nghia Cooperative MTS,Lý Tâm,Shrimp,Multi Site,Viet Nam,Litopenaeus vannamei (Whiteleg shrimp),POINT (106.044961 9.422633),,,,,
S0000631,THUAN PHUOC SEAFOODS AND TRADING CORPORATION,Ba Tri Farm,BA TRI FARM SECTION 60HA,Shrimp,Multi Site without IMS,Viet Nam,Litopenaeus vannamei (Whiteleg shrimp),POINT (106.650363 10.030199),,,,,
S0000632,Nguyen Dinh Vinh Business,"Quoc Vinh 1, 2, 3",Cafish shrimp farm 2,Shrimp,Multi Site without IMS,Viet Nam,"Litopenaeus vannamei (Whiteleg shrimp), Penaeus monodon (Giant tiger prawn)",POINT (106.529569 9.727928),,,,,
S0000633,Nguyen Dinh Vinh Business,"Quoc Vinh 1, 2, 3",Cafish shrimp farm 3,Shrimp,Multi Site without IMS,Viet Nam,"Litopenaeus vannamei (Whiteleg shrimp), Penaeus monodon (Giant tiger prawn)",POINT (106.531072 9.729136),,,,,
S0000639,Asvini Fisheries Private Ltd.,Rudra & Bonam & Vemana,Rudra Raja Vijaya Venkata Laxmi Narasimha Varma farm,Shrimp,Multi Site without IMS,India,Litopenaeus vannamei (Whiteleg shrimp),POINT (81.763056 16.456944),,,,,
S0000640,Asvini Fisheries Private Ltd.,Rudra & Bonam & Vemana,Bonam Venkata rangayyanaiduAquaculture farm,Shrimp,Multi Site without IMS,India,Litopenaeus vannamei (Whiteleg shrimp),POINT (81.304167 16.320556),,,,,
S0000641,Asvini Fisheries Private Ltd.,Rudra & Bonam & Vemana,Vemana Edukondalu Aquaculture farm,Shrimp,Multi Site without IMS,India,Litopenaeus vannamei (Whiteleg shrimp),POINT (81.763147 16.456936),,,,,
S0000650,ASF Exports,Vegesna & Gudivada,Shri Gudivada Narayana Rao Farm,Shrimp,Multi Site without IMS,India,Litopenaeus vannamei (Whiteleg shrimp),POINT (81.603719 16.68847),,,,,
S0000652,Soc Trang Seafood Joint Stock Company (Stapimex),Hoa Nghia Cooperative MTS,Tăng Văn Xúa,Shrimp,Multi Site,Viet Nam,Litopenaeus vannamei (Whiteleg shrimp),POINT (106.038544 9.419406),,,,,
S0000653,Soc Trang Seafood Joint Stock Company (Stapimex),Hoa Nghia Cooperative MTS,Trang Hoàng Thành,Shrimp,Multi Site,Viet Nam,Litopenaeus vannamei (Whiteleg shrimp),POINT (106.03415 9.426547),,,,,
S0000654,Soc Trang Seafood Joint Stock Company (Stapimex),Hoa Nghia Cooperative MTS,Lý Phước Mộc,Shrimp,Multi Site,Viet Nam,Litopenaeus vannamei (Whiteleg shrimp),POINT (106.041458 9.426617),,,,,
S0000655,Soc Trang Seafood Joint Stock Company (Stapimex),Hoa Nghia Cooperative MTS,Ngô Thanh Tuấn,Shrimp,Multi Site,Viet Nam,Litopenaeus vannamei (Whiteleg shrimp),POINT (106.044383 9.431094),,,,,
S0000656,Soc Trang Seafood Joint Stock Company (Stapimex),Hoa Nghia Cooperative MTS,Nguyễn Văn Buối,Shrimp,Multi Site,Viet Nam,Litopenaeus vannamei (Whiteleg shrimp),POINT (106.043047 9.427889),,,,,
S0000657,Soc Trang Seafood Joint Stock Company (Stapimex),Hoa Nghia Cooperative MTS,Ngô Văn Khén,Shrimp,Multi Site,Viet Nam,Litopenaeus vannamei (Whiteleg shrimp),POINT (106.038711 9.417467),,,,,
S0000658,Soc Trang Seafood Joint Stock Company (Stapimex),Hoa Nghia Cooperative MTS,Tăng Quốc Bảo,Shrimp,Multi Site,Viet Nam,Litopenaeus vannamei (Whiteleg shrimp),POINT (106.040347 9.420883),,,,,
S0000660,Soc Trang Seafood Joint Stock Company (Stapimex),Hoa Nghia Cooperative MTS,Lý Văn Hải,Shrimp,Multi Site,Viet Nam,Litopenaeus vannamei (Whiteleg shrimp),POINT (106.039853 9.423089),,,,,
S0000661,Soc Trang Seafood Joint Stock Company (Stapimex),Hoa Nghia Cooperative MTS,Trần Văn Thanh,Shrimp,Multi Site,Viet Nam,Litopenaeus vannamei (Whiteleg shrimp),POINT (106.042306 9.420136),,,,,
S0000662,Soc Trang Seafood Joint Stock Company (Stapimex),Hoa Nghia Cooperative MTS,Nguyễn Văn Kiêm,Shrimp,Multi Site,Viet Nam,Litopenaeus vannamei (Whiteleg shrimp),POINT (106.047739 9.421172),,,,,
S0000663,Soc Trang Seafood Joint Stock Company (Stapimex),Hoa Nghia Cooperative MTS,Đỗ Văn Tel,Shrimp,Multi Site,Viet Nam,Litopenaeus vannamei (Whiteleg shrimp),POINT (106.047842 9.421231),,,,,
S0000664,Soc Trang Seafood Joint Stock Company (Stapimex),Hoa Nghia Cooperative MTS,Lý Văn Sên,Shrimp,Multi Site,Viet Nam,Litopenaeus vannamei (Whiteleg shrimp),POINT (106.045644 9.422594),,,,,
S0000665,Soc Trang Seafood Joint Stock Company (Stapimex),Hoa Nghia Cooperative MTS,Ngô Minh Sơn,Shrimp,Multi Site,Viet Nam,Litopenaeus vannamei (Whiteleg shrimp),POINT (106.042458 9.422825),,,,,
S0000666,Soc Trang Seafood Joint Stock Company (Stapimex),Hoa Nghia Cooperative MTS,Ngô Văn Sích,Shrimp,Multi Site,Viet Nam,Litopenaeus vannamei (Whiteleg shrimp),POINT (106.038542 9.418211),,,,,
S0000667,Soc Trang Seafood Joint Stock Company (Stapimex),Hoa Nghia Cooperative MTS,Tăng Văn Tển,Shrimp,Multi Site,Viet Nam,Litopenaeus vannamei (Whiteleg shrimp),POINT (106.041847 9.420775),,,,,
S0000668,Soc Trang Seafood Joint Stock Company (Stapimex),Hoa Nghia Cooperative MTS,Trần Văn Cường,Shrimp,Multi Site,Viet Nam,Litopenaeus vannamei (Whiteleg shrimp),POINT (106.043239 9.429328),,,,,
S0000669,Soc Trang Seafood Joint Stock Company (Stapimex),Hoa Nghia Cooperative MTS,Huỳnh Phương Đại,Shrimp,Multi Site,Viet Nam,Litopenaeus vannamei (Whiteleg shrimp),POINT (106.043567 9.429481),,,,,
S0000670,Soc Trang Seafood Joint Stock Company (Stapimex),Hoa Nghia Cooperative MTS,Nguyễn Văn Phiếu,Shrimp,Multi Site,Viet Nam,Litopenaeus vannamei (Whiteleg shrimp),POINT (106.043183 9.428781),,,,,
S0000671,Soc Trang Seafood Joint Stock Company (Stapimex),Hoa Nghia Cooperative MTS,Phạm Văn Khương,Shrimp,Multi Site,Viet Nam,Litopenaeus vannamei (Whiteleg shrimp),POINT (106.041939 9.422525),,,,,
S0000672,Soc Trang Seafood Joint Stock Company (Stapimex),Hoa Nghia Cooperative MTS,Nguyễn Văn Thái,Shrimp,Multi Site,Viet Nam,Litopenaeus vannamei (Whiteleg shrimp),POINT (106.04225 9.422083),,,,,
S0000673,Soc Trang Seafood Joint Stock Company (Stapimex),Hoa Nghia Cooperative MTS,Trương Văn Đông,Shrimp,Multi Site,Viet Nam,Litopenaeus vannamei (Whiteleg shrimp),POINT (106.040556 9.420622),,,,,
S0000674,Soc Trang Seafood Joint Stock Company (Stapimex),Hoa Nghia Cooperative MTS,Nguyễn Văn Triệu,Shrimp,Multi Site,Viet Nam,Litopenaeus vannamei (Whiteleg shrimp),POINT (106.043567 9.429456),,,,,
S0000675,Soc Trang Seafood Joint Stock Company (Stapimex),Hoa Nghia Cooperative MTS,Lâm Văn Tỏa,Shrimp,Multi Site,Viet Nam,Litopenaeus vannamei (Whiteleg shrimp),POINT (106.0451 9.423633),,,,,
S0000676,Soc Trang Seafood Joint Stock Company (Stapimex),Hoa Nghia Cooperative MTS,Nguyễn Văn Thanh,Shrimp,Multi Site,Viet Nam,Litopenaeus vannamei (Whiteleg shrimp),POINT (106.043342 9.422689),,,,,
S0000677,Soc Trang Seafood Joint Stock Company (Stapimex),Hoa Nghia Cooperative MTS,Trần Văn Khai,Shrimp,Multi Site,Viet Nam,Litopenaeus vannamei (Whiteleg shrimp),POINT (105.963289 9.468264),,,,,
S0000678,Soc Trang Seafood Joint Stock Company (Stapimex),Hoa Nghia Cooperative MTS,Nguyễn Văn Như,Shrimp,Multi Site,Viet Nam,Litopenaeus vannamei (Whiteleg shrimp),POINT (105.95495 9.480753),,,,,
S0000679,Soc Trang Seafood Joint Stock Company (Stapimex),Hoa Nghia Cooperative MTS,Trương Văn Dũng,Shrimp,Multi Site,Viet Nam,Litopenaeus vannamei (Whiteleg shrimp),POINT (105.963589 9.4659),,,,,
S0000680,Soc Trang Seafood Joint Stock Company (Stapimex),Hoa Nghia Cooperative MTS,Trương Hoàng Sơn,Shrimp,Multi Site,Viet Nam,Litopenaeus vannamei (Whiteleg shrimp),POINT (105.95815 9.461781),,,,,
S0000681,Soc Trang Seafood Joint Stock Company (Stapimex),Hoa Nghia Cooperative MTS,Thạch Nil,Shrimp,Multi Site,Viet Nam,Litopenaeus vannamei (Whiteleg shrimp),POINT (106.022131 9.404825),,,,,
S0000682,Soc Trang Seafood Joint Stock Company (Stapimex),Hoa Nghia Cooperative MTS,Sơn Đa Ra,Shrimp,Multi Site,Viet Nam,Litopenaeus vannamei (Whiteleg shrimp),POINT (106.022058 9.407731),,,,,
S0000685,Asvini Fisheries Private Ltd.,SSS Aqua & Talluri & Yerram Farm,S.S.S. Aqua Farm,Shrimp,Multi Site without IMS,India,Litopenaeus vannamei (Whiteleg shrimp),POINT (81.106333 16.513944),,,,,
S0000686,Asvini Fisheries Private Ltd.,SSS Aqua & Talluri & Yerram Farm,Talluri Vamsi Krishna Aquaculture farm,Shrimp,Multi Site without IMS,India,Litopenaeus vannamei (Whiteleg shrimp),POINT (81.799583 16.510583),,,,,
S0000687,Asvini Fisheries Private Ltd.,SSS Aqua & Talluri & Yerram Farm,Yerramsetti Satynarayana & Vemana Edukondalu Aquaculture farm,Shrimp,Multi Site without IMS,India,Litopenaeus vannamei (Whiteleg shrimp),POINT (81.106322 16.513936),,,,,
S0000717,Thien Phu Seafood,Thien Phu - Cai Keo Farm,THIEN PHU – CAI KEO FARM,Shrimp,Single Site,Viet Nam,Penaeus monodon (Giant tiger prawn),POINT (105.368611 9.0625),,,,,
S0000737,Soc Trang Seafood Joint Stock Company (Stapimex),Hung Phu Co-Operative Society,Trần Quang Cần,Shrimp,Multi Site without IMS,Viet Nam,"Litopenaeus vannamei (Whiteleg shrimp), Penaeus monodon (Giant tiger prawn)",POINT (106.274731 9.552436),,,,,
S0000738,Soc Trang Seafood Joint Stock Company (Stapimex),Hung Phu Co-Operative Society,Lâm Thành Lâm,Shrimp,Multi Site without IMS,Viet Nam,"Litopenaeus vannamei (Whiteleg shrimp), Penaeus monodon (Giant tiger prawn)",POINT (106.276331 9.583997),,,,,
S0000739,Soc Trang Seafood Joint Stock Company (Stapimex),Hung Phu Co-Operative Society,Bùi Thanh Toàn,Shrimp,Multi Site without IMS,Viet Nam,"Litopenaeus vannamei (Whiteleg shrimp), Penaeus monodon (Giant tiger prawn)",POINT (106.221742 9.579731),,,,,
S0000740,Soc Trang Seafood Joint Stock Company (Stapimex),Hung Phu Co-Operative Society,Lê Hồng Kiệt,Shrimp,Multi Site without IMS,Viet Nam,"Litopenaeus vannamei (Whiteleg shrimp), Penaeus monodon (Giant tiger prawn)",POINT (106.178061 9.634267),,,,,
S0000741,Soc Trang Seafood Joint Stock Company (Stapimex),Hung Phu Co-Operative Society,Lê Hồng Tuấn,Shrimp,Multi Site without IMS,Viet Nam,"Litopenaeus vannamei (Whiteleg shrimp), Penaeus monodon (Giant tiger prawn)",POINT (106.180414 9.637925),,,,,
S0000742,Soc Trang Seafood Joint Stock Company (Stapimex),Hung Phu Co-Operative Society,Nguyễn Văn Sang,Shrimp,Multi Site without IMS,Viet Nam,"Litopenaeus vannamei (Whiteleg shrimp), Penaeus monodon (Giant tiger prawn)",POINT (106.207361 9.610583),,,,,
S0000743,Soc Trang Seafood Joint Stock Company (Stapimex),Hung Phu Co-Operative Society,Đặng Minh Nhựt,Shrimp,Multi Site without IMS,Viet Nam,"Litopenaeus vannamei (Whiteleg shrimp), Penaeus monodon (Giant tiger prawn)",POINT (106.146331 9.659981),,,,,
S0000744,Soc Trang Seafood Joint Stock Company (Stapimex),Hung Phu Co-Operative Society,Dương Văn Hiệp,Shrimp,Multi Site without IMS,Viet Nam,"Litopenaeus vannamei (Whiteleg shrimp), Penaeus monodon (Giant tiger prawn)",POINT (106.263958 9.565981),,,,,
S0000745,Soc Trang Seafood Joint Stock Company (Stapimex),Hung Phu Co-Operative Society,Phạm Hồng Văn,Shrimp,Multi Site without IMS,Viet Nam,"Litopenaeus vannamei (Whiteleg shrimp), Penaeus monodon (Giant tiger prawn)",POINT (106.253667 9.551314),,,,,
S0000746,Soc Trang Seafood Joint Stock Company (Stapimex),Hung Phu Co-Operative Society,Châu Thanh Nam,Shrimp,Multi Site without IMS,Viet Nam,"Litopenaeus vannamei (Whiteleg shrimp), Penaeus monodon (Giant tiger prawn)",POINT (106.263719 9.573775),,,,,
S0000747,Soc Trang Seafood Joint Stock Company (Stapimex),Hung Phu Co-Operative Society,Nguyễn Văn Thao,Shrimp,Multi Site without IMS,Viet Nam,"Litopenaeus vannamei (Whiteleg shrimp), Penaeus monodon (Giant tiger prawn)",POINT (106.229536 9.510197),,,,,
S0000748,Soc Trang Seafood Joint Stock Company (Stapimex),Hung Phu Co-Operative Society,Lê Văn Phùng,Shrimp,Multi Site without IMS,Viet Nam,"Litopenaeus vannamei (Whiteleg shrimp), Penaeus monodon (Giant tiger prawn)",POINT (106.265617 9.577978),,,,,
S0000760,Atlantic Shrimpers Ltd.,Atlantic Shrimpers Limited,Atlantic Shrimpers Limited,Shrimp,Single Site,Nigeria,Penaeus monodon (Giant tiger prawn),POINT (3.036528 6.404444),,,,,
S0000765,"Huitai Bohai Seafoods Co., Ltd.",Jinshuiyan Farm,Jinshuiyan Farm,Shrimp,Single Site,China,Litopenaeus vannamei (Whiteleg shrimp),POINT (118.126772 38.078225),,,,,
S0000766,"Huitai Bohai Seafoods Co., Ltd.",Beilangwa Farm,Beilangwa Farm,Shrimp,Single Site,China,Litopenaeus vannamei (Whiteleg shrimp),POINT (117.975444 38.089881),,,,,
S0000778,ACUICOLA SANTA INES SA DE CV,Acuícola Santa Inés farm,Acuícola Santa Inés farm,Shrimp,Single Site,Mexico,Litopenaeus vannamei (Whiteleg shrimp),POINT (-110.083561 27.154806),,,,,
S0000779,Acuícola Califus S.A. de C.V.,Acuícola Califus farm,Acuícola Califus farm,Shrimp,Single Site,Mexico,Litopenaeus vannamei (Whiteleg shrimp),POINT (-110.085119 27.13075),,,,,
S0000823,Apex Foods Limited,Farisa Agro Farms Limited,Farisa Agro Farms Limited farm,Shrimp,Single Site,Bangladesh,Penaeus monodon (Giant tiger prawn),POINT (89.03 22.27),,,,,
S0000795,TAIKA SEAFOOD CORPORATION,TAIKA FARM - NONG NGU 14/10 HOA NHO A CO-OPERATIVE SOCIETY,Ngô Công Minh Mẫn,Shrimp,Multi Site without IMS,Viet Nam,Litopenaeus vannamei (Whiteleg shrimp),POINT (105.912222 9.381389),,,,,
S0000796,TAIKA SEAFOOD CORPORATION,TAIKA FARM - NONG NGU 14/10 HOA NHO A CO-OPERATIVE SOCIETY,Ngô Công Luận,Shrimp,Multi Site without IMS,Viet Nam,Litopenaeus vannamei (Whiteleg shrimp),POINT (105.910833 9.375833),,,,,
S0000797,TAIKA SEAFOOD CORPORATION,TAIKA FARM - NONG NGU 14/10 HOA NHO A CO-OPERATIVE SOCIETY,Trịnh Hậu Giang,Shrimp,Multi Site without IMS,Viet Nam,Litopenaeus vannamei (Whiteleg shrimp),POINT (105.907778 9.380833),,,,,
