crop_number,SPAM_short_name,SPAM_super,SPAM_full_name,FAONAMES,FAO_item_code_NFB,FAO_item_code,GROUP,product_description_FAOSTAT,non_food
31,ofib,ofib,other fibre crops,other fibres ++,,793,fibres,NA,nonfood
31,ofib,ofib,other fibre crops,other fibres ++,,794,fibres,NA,nonfood
31,ofib,ofib,other fibre crops,other fibres ++,,795,fibres,NA,nonfood
31,ofib,ofib,other fibre crops,other fibres ++,,796,fibres,NA,nonfood
31,ofib,ofib,other fibre crops,other fibres ++,,797,fibres,NA,nonfood
31,ofib,ofib,other fibre crops,other fibres ++,,798,fibres,NA,nonfood
31,ofib,ofib,other fibre crops,other fibres ++,,799,fibres,NA,nonfood
31,ofib,ofib,other fibre crops,other fibres ++,,800,fibres,Agave fibres nes,nonfood
31,ofib,ofib,other fibre crops,other fibres ++,,801,fibres,NA,nonfood
31,ofib,ofib,other fibre crops,other fibres ++,,802,fibres,NA,nonfood
31,ofib,ofib,other fibre crops,other fibres ++,,803,fibres,NA,nonfood
31,ofib,ofib,other fibre crops,other fibres ++,,804,fibres,NA,nonfood
31,ofib,ofib,other fibre crops,other fibres ++,,805,fibres,NA,nonfood
31,ofib,ofib,other fibre crops,other fibres ++,,806,fibres,NA,nonfood
31,ofib,ofib,other fibre crops,other fibres ++,,807,fibres,NA,nonfood
31,ofib,ofib,other fibre crops,other fibres ++,,808,fibres,NA,nonfood
31,ofib,ofib,other fibre crops,other fibres ++,,809,fibres,Abaca manila hemp,nonfood
31,ofib,ofib,other fibre crops,other fibres ++,,810,fibres,NA,nonfood
31,ofib,ofib,other fibre crops,other fibres ++,,811,fibres,NA,nonfood
31,ofib,ofib,other fibre crops,other fibres ++,,812,fibres,NA,nonfood
31,ofib,ofib,other fibre crops,other fibres ++,,813,fibres,Coir,nonfood
31,ofib,ofib,other fibre crops,other fibres ++,,814,fibres,NA,nonfood
31,ofib,ofib,other fibre crops,other fibres ++,,815,fibres,NA,nonfood
31,ofib,ofib,other fibre crops,other fibres ++,,816,fibres,NA,nonfood
31,ofib,ofib,other fibre crops,other fibres ++,,817,fibres,NA,nonfood
31,ofib,ofib,other fibre crops,other fibres ++,,818,fibres,NA,nonfood
31,ofib,ofib,other fibre crops,other fibres ++,,819,fibres,NA,nonfood
31,ofib,ofib,other fibre crops,other fibres ++,,820,fibres,NA,nonfood
31,ofib,ofib,other fibre crops,other fibres ++,,821,fibres,Fibre crops nes,nonfood
39,trof,xfru,tropical fruit,oranges ++,2611,490,fruits,Oranges,
39,trof,xfru,tropical fruit,oranges ++,2611,491,fruits,Juice of Orange,
39,trof,xfru,tropical fruit,oranges ++,2611,492,fruits,"Orange Juice, Concentrated",
39,trof,xfru,tropical fruit,oranges ++,,493,fruits,NA,
39,trof,xfru,tropical fruit,oranges ++,,494,fruits,NA,
39,trof,xfru,tropical fruit,oranges ++,2611,495,fruits,"Tangerines, mandarins, clementines, satsumas",
39,trof,xfru,tropical fruit,oranges ++,2611,496,fruits,"Juice of Tangerine, Mandarin and Clementin",
39,trof,xfru,tropical fruit,oranges ++,2612,497,fruits,Lemons and limes,
39,trof,xfru,tropical fruit,oranges ++,2612,498,fruits,Juice of Lemon,
39,trof,xfru,tropical fruit,oranges ++,2612,499,fruits,"Lemon Juice, Concentrated",
39,trof,xfru,tropical fruit,oranges ++,,500,fruits,NA,
39,trof,xfru,tropical fruit,oranges ++,,501,fruits,NA,
39,trof,xfru,tropical fruit,oranges ++,,502,fruits,NA,
39,trof,xfru,tropical fruit,oranges ++,,503,fruits,NA,
39,trof,xfru,tropical fruit,oranges ++,,504,fruits,NA,
39,trof,xfru,tropical fruit,oranges ++,,505,fruits,NA,
39,trof,xfru,tropical fruit,oranges ++,,506,fruits,NA,
39,trof,xfru,tropical fruit,oranges ++,2613,507,fruits,Grapefruit and pomelo,
39,trof,xfru,tropical fruit,oranges ++,,508,fruits,NA,
39,trof,xfru,tropical fruit,oranges ++,2613,509,fruits,Juice of Grapefruit,
39,trof,xfru,tropical fruit,oranges ++,2613,510,fruits,"Grapefruit Juice, Concentrated",
39,trof,xfru,tropical fruit,oranges ++,,511,fruits,NA,
39,trof,xfru,tropical fruit,oranges ++,2614,512,fruits,Citrus fruit nes,
39,trof,xfru,tropical fruit,oranges ++,2614,513,fruits,"Juice, citrus, single strength",
39,trof,xfru,tropical fruit,oranges ++,2614,514,fruits,"Juice, citrus, concentrated",
39,trof,xfru,tropical fruit,oranges ++,2625,567,fruits,Watermelons,
39,trof,xfru,tropical fruit,oranges ++,2625,568,fruits,"Melons, Cantaloupes",
39,trof,xfru,tropical fruit,oranges ++,2625,569,fruits,Figs,
39,trof,xfru,tropical fruit,oranges ++,2625,570,fruits,"Figs, Dried",
39,trof,xfru,tropical fruit,oranges ++,2625,571,fruits,Mangoes,
39,trof,xfru,tropical fruit,oranges ++,2625,572,fruits,Avocados,
39,trof,xfru,tropical fruit,oranges ++,,573,fruits,NA,
39,trof,xfru,tropical fruit,oranges ++,2618,574,fruits,Pineapples,
39,trof,xfru,tropical fruit,oranges ++,2618,575,fruits,"Pineapples, Canned",
39,trof,xfru,tropical fruit,oranges ++,2618,576,fruits,Juice of Pineapples,
39,trof,xfru,tropical fruit,oranges ++,2618,580,fruits,"Juice, pineappe, concentrated",
39,trof,xfru,tropical fruit,oranges ++,2619,577,fruits,Dates,
39,trof,xfru,tropical fruit,oranges ++,,578,fruits,NA,
39,trof,xfru,tropical fruit,oranges ++,,579,fruits,NA,
39,trof,xfru,tropical fruit,oranges ++,,581,fruits,NA,
39,trof,xfru,tropical fruit,oranges ++,,582,fruits,NA,
39,trof,xfru,tropical fruit,oranges ++,2625,583,fruits,Juice of Mango,
39,trof,xfru,tropical fruit,oranges ++,2625,584,fruits,Mango Pulp,
39,trof,xfru,tropical fruit,oranges ++,,585,fruits,NA,
39,trof,xfru,tropical fruit,oranges ++,,586,fruits,NA,
39,trof,xfru,tropical fruit,oranges ++,2625,587,fruits,Persimmons,
39,trof,xfru,tropical fruit,oranges ++,,588,fruits,NA,
39,trof,xfru,tropical fruit,oranges ++,,589,fruits,NA,
