species,isscaap,isscaap_num,global_catch,common_name,Genus,Subfamily,Family,Order,Class,SuperClass
Merlangius merlangus,Cods hakes haddocks,32,52491.44636,NA,Merlangius,NA,Gadidae,Gadiformes,Actinopterygii,Osteichthyes
Merluccius,Cods hakes haddocks,32,374126.51514,NA,NA,NA,NA,NA,NA,NA
Merluccius australis,Cods hakes haddocks,32,28115.73572,NA,Merluccius,Merlucciinae,Merlucciidae,Gadiformes,Actinopterygii,Osteichthyes
Merluccius bilinearis,Cods hakes haddocks,32,13881.8468,NA,Merluccius,Merlucciinae,Merlucciidae,Gadiformes,Actinopterygii,Osteichthyes
Merluccius capensis,Cods hakes haddocks,32,16534.36807,NA,Merluccius,Merlucciinae,Merlucciidae,Gadiformes,Actinopterygii,Osteichthyes
Merluccius gayi gayi,Cods hakes haddocks,32,43392.39731,NA,Merluccius,Merlucciinae,Merlucciidae,Gadiformes,Actinopterygii,Osteichthyes
Merluccius gayi peruanus,Cods hakes haddocks,32,97491.14801,NA,Merluccius,Merlucciinae,Merlucciidae,Gadiformes,Actinopterygii,Osteichthyes
Merluccius hubbsi,Cods hakes haddocks,32,433402.08467,NA,Merluccius,Merlucciinae,Merlucciidae,Gadiformes,Actinopterygii,Osteichthyes
Merluccius merluccius,Cods hakes haddocks,32,77382.3225,Cornish salmon,Merluccius,Merlucciinae,Merlucciidae,Gadiformes,Actinopterygii,Osteichthyes
Merluccius paradoxus,Cods hakes haddocks,32,179.83015,NA,Merluccius,Merlucciinae,Merlucciidae,Gadiformes,Actinopterygii,Osteichthyes
Merluccius polli,Cods hakes haddocks,32,6767.0561099999995,NA,Merluccius,Merlucciinae,Merlucciidae,Gadiformes,Actinopterygii,Osteichthyes
Merluccius productus,Cods hakes haddocks,32,485117.43381,NA,Merluccius,Merlucciinae,Merlucciidae,Gadiformes,Actinopterygii,Osteichthyes
Merluccius senegalensis,Cods hakes haddocks,32,6101.5015300000005,NA,Merluccius,Merlucciinae,Merlucciidae,Gadiformes,Actinopterygii,Osteichthyes
Mesodesma donacium,Clams cockles arkshells,56,4040.45247,NA,NA,NA,NA,NA,NA,NA
Metanephrops,Lobsters spiny-rock lobsters,43,149.95419,NA,NA,NA,NA,NA,NA,NA
Metanephrops challengeri,Lobsters spiny-rock lobsters,43,1109.78226,NA,NA,NA,NA,NA,NA,NA
Metanephrops mozambicus,Lobsters spiny-rock lobsters,43,235.89279,NA,NA,NA,NA,NA,NA,NA
Metapenaeus,Shrimps prawns,45,65617.47764,NA,NA,NA,NA,NA,NA,NA
Metapenaeus endeavouri,Shrimps prawns,45,2256.17835,NA,NA,NA,NA,NA,NA,NA
Metapenaeus joyneri,Shrimps prawns,45,1057.96406,NA,NA,NA,NA,NA,NA,NA
Metapenaeus monoceros,Shrimps prawns,45,2197.85792,NA,NA,NA,NA,NA,NA,NA
Microchirus,Flounders halibuts soles,31,413.67338,NA,NA,NA,NA,NA,NA,NA
Microchirus variegatus,Flounders halibuts soles,31,11.89619,NA,Microchirus,NA,Soleidae,Pleuronectiformes,Actinopterygii,Osteichthyes
Microcosmus sulcatus,Sea-squirts and other tunicates,74,12.69624,NA,NA,NA,NA,NA,NA,NA
Microgadus tomcod,Cods hakes haddocks,32,6.52904,NA,Microgadus,NA,Gadidae,Gadiformes,Actinopterygii,Osteichthyes
Micromesistius australis,Cods hakes haddocks,32,53659.22524,NA,Micromesistius,NA,Gadidae,Gadiformes,Actinopterygii,Osteichthyes
Micromesistius poutassou,Cods hakes haddocks,32,2512203.97821,NA,Micromesistius,NA,Gadidae,Gadiformes,Actinopterygii,Osteichthyes
Micropogonias,Redfishes basses congers,33,1520.66629,NA,NA,NA,NA,NA,NA,NA
Micropogonias furnieri,Redfishes basses congers,33,85589.83626,NA,Micropogonias,NA,Sciaenidae,Perciformes,Actinopterygii,Osteichthyes
Micropogonias undulatus,Redfishes basses congers,33,1495.21609,NA,Micropogonias,NA,Sciaenidae,Perciformes,Actinopterygii,Osteichthyes
Microstomus kitt,Flounders halibuts soles,31,13788.97446,NA,Microstomus,Pleuronectinae,Pleuronectidae,Pleuronectiformes,Actinopterygii,Osteichthyes
Microstomus pacificus,Flounders halibuts soles,31,6065.27768,NA,Microstomus,Pleuronectinae,Pleuronectidae,Pleuronectiformes,Actinopterygii,Osteichthyes
Miichthys miiuy,Redfishes basses congers,33,61520.45425,NA,Miichthys,NA,Sciaenidae,Perciformes,Actinopterygii,Osteichthyes
Miscellaneous marine crustaceans,Marine crustaceans nei,47,545252.01959,NA,NA,NA,NA,NA,NA,NA
Miscellaneous marine molluscs,Marine molluscs nei,58,1138414.73032,NA,NA,NA,NA,NA,NA,NA
Mobula mobular,Sharks rays skates etc,38,2.52651,NA,Mobula,Mobulinae,Myliobatidae,Myliobatiformes,Elasmobranchii,Chondrichthyes
Modiolus,Mussels,54,0.03647,NA,NA,NA,NA,NA,NA,NA
Mola mola,Misc Finfishes,39,446.85295,NA,Mola,NA,Molidae,Tetraodontiformes,Actinopterygii,Osteichthyes
Molva,Cods hakes haddocks,32,894.04018,NA,NA,NA,NA,NA,NA,NA
Molva dypterygia,Cods hakes haddocks,32,10033.61522,NA,Molva,NA,Lotidae,Gadiformes,Actinopterygii,Osteichthyes
Molva molva,Cods hakes haddocks,32,52655.24353,NA,Molva,NA,Lotidae,Gadiformes,Actinopterygii,Osteichthyes
Monacanthidae,Misc Finfishes,39,9067.93828,NA,NA,NA,NA,NA,NA,NA
Monotaxis grandoculis,Redfishes basses congers,33,64.0318,NA,Monotaxis,Monotaxinae,Lethrinidae,Perciformes,Actinopterygii,Osteichthyes
Mora moro,Cods hakes haddocks,32,1507.68458,NA,Mora,NA,Moridae,Gadiformes,Actinopterygii,Osteichthyes
Moridae,Cods hakes haddocks,32,51.41189,NA,NA,NA,NA,NA,NA,NA
Morone americana,Redfishes basses congers,33,724.72962,NA,Morone,NA,Moronidae,Perciformes,Actinopterygii,Osteichthyes
Morone saxatilis,Redfishes basses congers,33,2331.37916,NA,Morone,NA,Moronidae,Perciformes,Actinopterygii,Osteichthyes
Mugil,Redfishes basses congers,33,7226.44822,NA,NA,NA,NA,NA,NA,NA
Mugil cephalus,Redfishes basses congers,33,135199.91512,NA,Mugil,NA,Mugilidae,Mugiliformes,Actinopterygii,Osteichthyes
Mugil liza,Redfishes basses congers,33,2580.95641,NA,Mugil,NA,Mugilidae,Mugiliformes,Actinopterygii,Osteichthyes
Mugil soiuy,Redfishes basses congers,33,1489.38585,NA,NA,NA,NA,NA,NA,NA
Mugilidae,Redfishes basses congers,33,1145146.20121,NA,NA,NA,NA,NA,NA,NA
Mulinia,Clams cockles arkshells,56,2358.67683,NA,NA,NA,NA,NA,NA,NA
Mullidae,Redfishes basses congers,33,51387.76246,NA,NA,NA,NA,NA,NA,NA
Mulloidichthys flavolineatus,Redfishes basses congers,33,181.84638,NA,Mulloidichthys,NA,Mullidae,Perciformes,Actinopterygii,Osteichthyes
Mullus,Redfishes basses congers,33,22952.91151,NA,NA,NA,NA,NA,NA,NA
Mullus argentinae,Redfishes basses congers,33,168.58933,NA,Mullus,NA,Mullidae,Perciformes,Actinopterygii,Osteichthyes
Mullus barbatus barbatus,Redfishes basses congers,33,27732.98144,NA,Mullus,NA,Mullidae,Perciformes,Actinopterygii,Osteichthyes
Mullus surmuletus,Redfishes basses congers,33,4132.59608,NA,Mullus,NA,Mullidae,Perciformes,Actinopterygii,Osteichthyes
Muraena helena,Redfishes basses congers,33,141.90969,NA,Muraena,Muraeninae,Muraenidae,Anguilliformes,Actinopterygii,Osteichthyes
Muraenesox,Redfishes basses congers,33,11205.82133,NA,NA,NA,NA,NA,NA,NA
Muraenesox cinereus,Redfishes basses congers,33,372339.22094,NA,Muraenesox,NA,Muraenesocidae,Anguilliformes,Actinopterygii,Osteichthyes
Muraenidae,Redfishes basses congers,33,13677.17578,NA,NA,NA,NA,NA,NA,NA
Muraenolepis,Cods hakes haddocks,32,1.22557,NA,NA,NA,NA,NA,NA,NA
Muraenolepis microps,Cods hakes haddocks,32,0.10091,NA,Muraenolepis,NA,Muraenolepididae,Gadiformes,Actinopterygii,Osteichthyes
Murex,Abalones winkles conchs,52,8539.3406,NA,NA,NA,NA,NA,NA,NA
Mustelus,Sharks rays skates etc,38,23547.05028,NA,NA,NA,NA,NA,NA,NA
Mustelus asterias,Sharks rays skates etc,38,22.03115,NA,Mustelus,Triakinae,Triakidae,Carcharhiniformes,Elasmobranchii,Chondrichthyes
Mustelus henlei,Sharks rays skates etc,38,29.12313,NA,Mustelus,Triakinae,Triakidae,Carcharhiniformes,Elasmobranchii,Chondrichthyes
Mustelus lenticulatus,Sharks rays skates etc,38,1531.8083,NA,Mustelus,Triakinae,Triakidae,Carcharhiniformes,Elasmobranchii,Chondrichthyes
Mustelus mustelus,Sharks rays skates etc,38,87.89485,NA,Mustelus,Triakinae,Triakidae,Carcharhiniformes,Elasmobranchii,Chondrichthyes
Mustelus schmitti,Sharks rays skates etc,38,3310.67267,NA,Mustelus,Triakinae,Triakidae,Carcharhiniformes,Elasmobranchii,Chondrichthyes
Mya arenaria,Clams cockles arkshells,56,6601.11942,NA,NA,NA,NA,NA,NA,NA
Mycteroperca,Redfishes basses congers,33,4002.55382,NA,NA,NA,NA,NA,NA,NA
Mycteroperca interstitialis,Redfishes basses congers,33,0.20061,Salmon grouper,Mycteroperca,Epinephelinae,Serranidae,Perciformes,Actinopterygii,Osteichthyes
Mycteroperca interstitialis,Redfishes basses congers,33,0.20061,Salmon rock fish,Mycteroperca,Epinephelinae,Serranidae,Perciformes,Actinopterygii,Osteichthyes
Mycteroperca interstitialis,Redfishes basses congers,33,0.20061,Salmon rockfish,Mycteroperca,Epinephelinae,Serranidae,Perciformes,Actinopterygii,Osteichthyes
Mycteroperca microlepis,Redfishes basses congers,33,325.00934,NA,Mycteroperca,Epinephelinae,Serranidae,Perciformes,Actinopterygii,Osteichthyes
Mycteroperca phenax,Redfishes basses congers,33,126.78384,NA,Mycteroperca,Epinephelinae,Serranidae,Perciformes,Actinopterygii,Osteichthyes
Mycteroperca venenosa,Redfishes basses congers,33,125.97879,NA,Mycteroperca,Epinephelinae,Serranidae,Perciformes,Actinopterygii,Osteichthyes
Mycteroperca xenarcha,Redfishes basses congers,33,123.9945,NA,Mycteroperca,Epinephelinae,Serranidae,Perciformes,Actinopterygii,Osteichthyes
Myctophidae,Jacks mullets sauries,34,9.32858,NA,NA,NA,NA,NA,NA,NA
Myliobatidae,Sharks rays skates etc,38,30427.04026,NA,NA,NA,NA,NA,NA,NA
Myliobatis aquila,Sharks rays skates etc,38,42.80051,"Coryphaena hippurus Lambouka
Common eagle ray",Myliobatis,Myliobatinae,Myliobatidae,Myliobatiformes,Elasmobranchii,Chondrichthyes
Myoxocephalus,Misc Finfishes,39,188.37134,NA,NA,NA,NA,NA,NA,NA
Mytilidae,Mussels,54,58837.14088,NA,NA,NA,NA,NA,NA,NA
Mytilus,Mussels,54,23.6021,NA,NA,NA,NA,NA,NA,NA
Mytilus chilensis,Mussels,54,11864.13579,NA,NA,NA,NA,NA,NA,NA
Mytilus coruscus,Mussels,54,6102.72191,NA,NA,NA,NA,NA,NA,NA
Mytilus edulis,Mussels,54,160595.87995,NA,NA,NA,NA,NA,NA,NA
Mytilus galloprovincialis,Mussels,54,7312.94914,NA,NA,NA,NA,NA,NA,NA
Myxine glutinosa,Misc Finfishes,39,613.22485,NA,Myxine,Myxininae,Myxinidae,Myxiniformes,Myxini,Agnatha
Myxinidae,Misc Finfishes,39,1787.25036,NA,NA,NA,NA,NA,NA,NA
Naso unicornis,Redfishes basses congers,33,464.71798,NA,Naso,Nasinae,Acanthuridae,Perciformes,Actinopterygii,Osteichthyes
Necora puber,Sea-spiders crabs,42,520.99454,NA,NA,NA,NA,NA,NA,NA
Nemadactylus,Misc Finfishes,39,6919.08256,NA,NA,NA,NA,NA,NA,NA
Nemadactylus bergi,Misc Finfishes,39,710.18246,NA,Nemadactylus,NA,Cheilodactylidae,Perciformes,Actinopterygii,Osteichthyes
Nematalosa nasus,Shads,24,667.53032,NA,Nematalosa,Dorosomatinae,Clupeidae,Clupeiformes,Actinopterygii,Osteichthyes
Nematopalaemon schmitti,Shrimps prawns,45,3297.53728,NA,NA,NA,NA,NA,NA,NA
Nemipteridae,Redfishes basses congers,33,316449.57508,NA,NA,NA,NA,NA,NA,NA
Nemipterus,Redfishes basses congers,33,666026.59819,NA,NA,NA,NA,NA,NA,NA
Nemipterus japonicus,Redfishes basses congers,33,10446.930699999999,NA,Nemipterus,NA,Nemipteridae,Perciformes,Actinopterygii,Osteichthyes
Nemipterus virgatus,Redfishes basses congers,33,26.07902,NA,Nemipterus,NA,Nemipteridae,Perciformes,Actinopterygii,Osteichthyes
Neopagetopsis ionah,Jacks mullets sauries,34,0.26714,NA,Neopagetopsis,NA,Channichthyidae,Perciformes,Actinopterygii,Osteichthyes
Nephrops norvegicus,Lobsters spiny-rock lobsters,43,79793.76892,NA,NA,NA,NA,NA,NA,NA
Normanichthys crockeri,Misc Finfishes,39,64627.383,NA,Normanichthys,NA,Normanichthyidae,Scorpaeniformes,Actinopterygii,Osteichthyes
Notorynchus cepedianus,Sharks rays skates etc,38,6.12313,NA,Notorynchus,NA,Hexanchidae,Hexanchiformes,Elasmobranchii,Chondrichthyes
Notothenia coriiceps,Redfishes basses congers,33,0.01433,NA,Notothenia,NA,Nototheniidae,Perciformes,Actinopterygii,Osteichthyes
Notothenia rossii,Redfishes basses congers,33,3.66141,NA,Notothenia,NA,Nototheniidae,Perciformes,Actinopterygii,Osteichthyes
Nototheniidae,Redfishes basses congers,33,115.45874,NA,NA,NA,NA,NA,NA,NA
Nototodarus sloanii,Squids cuttlefishes octopuses,57,20321.23757,NA,NA,NA,NA,NA,NA,NA
Oblada melanura,Redfishes basses congers,33,2905.44583,NA,Oblada,NA,Sparidae,Perciformes,Actinopterygii,Osteichthyes
Octopoda,Squids cuttlefishes octopuses,57,706942.51242,NA,NA,NA,NA,NA,NA,NA
Octopodidae,Squids cuttlefishes octopuses,57,9852.73551,NA,NA,NA,NA,NA,NA,NA
Octopus,Squids cuttlefishes octopuses,57,26731.0887,NA,NA,NA,NA,NA,NA,NA
Octopus vulgaris,Squids cuttlefishes octopuses,57,46349.5296,NA,NA,NA,NA,NA,NA,NA
Ocyurus chrysurus,Redfishes basses congers,33,10466.16532,NA,Ocyurus,Lutjaninae,Lutjanidae,Perciformes,Actinopterygii,Osteichthyes
Odontesthes regia,Mackerels snoeks cutlassfishes,37,637.48622,NA,Odontesthes,Atherinopsinae,Atherinopsidae,Atheriniformes,Actinopterygii,Osteichthyes
Ommastrephes bartramii,Squids cuttlefishes octopuses,57,5073.31212,NA,NA,NA,NA,NA,NA,NA
Ommastrephidae,Squids cuttlefishes octopuses,57,3675.96492,NA,NA,NA,NA,NA,NA,NA
Oncorhynchus,Salmons trouts smelts,23,0.14149,NA,NA,NA,NA,NA,NA,NA
Oncorhynchus gorbuscha,Salmons trouts smelts,23,790934.61307,Humpback salmon,Oncorhynchus,Salmoninae,Salmonidae,Salmoniformes,Actinopterygii,Osteichthyes
Oncorhynchus gorbuscha,Salmons trouts smelts,23,790934.61307,Pink salmon,Oncorhynchus,Salmoninae,Salmonidae,Salmoniformes,Actinopterygii,Osteichthyes
Oncorhynchus gorbuscha,Salmons trouts smelts,23,790934.61307,Pink(=Humpback) salmon,Oncorhynchus,Salmoninae,Salmonidae,Salmoniformes,Actinopterygii,Osteichthyes
Oncorhynchus gorbuscha,Salmons trouts smelts,23,790934.61307,Salmon,Oncorhynchus,Salmoninae,Salmonidae,Salmoniformes,Actinopterygii,Osteichthyes
Oncorhynchus keta,Salmons trouts smelts,23,416456.59031,Calico salmon,Oncorhynchus,Salmoninae,Salmonidae,Salmoniformes,Actinopterygii,Osteichthyes
Oncorhynchus keta,Salmons trouts smelts,23,416456.59031,Chum salmon,Oncorhynchus,Salmoninae,Salmonidae,Salmoniformes,Actinopterygii,Osteichthyes
Oncorhynchus keta,Salmons trouts smelts,23,416456.59031,Chum(=Keta=Dog) salmon,Oncorhynchus,Salmoninae,Salmonidae,Salmoniformes,Actinopterygii,Osteichthyes
Oncorhynchus keta,Salmons trouts smelts,23,416456.59031,Dog salmon,Oncorhynchus,Salmoninae,Salmonidae,Salmoniformes,Actinopterygii,Osteichthyes
Oncorhynchus keta,Salmons trouts smelts,23,416456.59031,Fall salmon,Oncorhynchus,Salmoninae,Salmonidae,Salmoniformes,Actinopterygii,Osteichthyes
Oncorhynchus keta,Salmons trouts smelts,23,416456.59031,Keta salmon,Oncorhynchus,Salmoninae,Salmonidae,Salmoniformes,Actinopterygii,Osteichthyes
Oncorhynchus keta,Salmons trouts smelts,23,416456.59031,Salmon,Oncorhynchus,Salmoninae,Salmonidae,Salmoniformes,Actinopterygii,Osteichthyes
Oncorhynchus kisutch,Salmons trouts smelts,23,43634.21567,Coho salmon,Oncorhynchus,Salmoninae,Salmonidae,Salmoniformes,Actinopterygii,Osteichthyes
Oncorhynchus kisutch,Salmons trouts smelts,23,43634.21567,Coho(=Silver) salmon,Oncorhynchus,Salmoninae,Salmonidae,Salmoniformes,Actinopterygii,Osteichthyes
Oncorhynchus kisutch,Salmons trouts smelts,23,43634.21567,Hoopid salmon,Oncorhynchus,Salmoninae,Salmonidae,Salmoniformes,Actinopterygii,Osteichthyes
Oncorhynchus kisutch,Salmons trouts smelts,23,43634.21567,Salmon,Oncorhynchus,Salmoninae,Salmonidae,Salmoniformes,Actinopterygii,Osteichthyes
Oncorhynchus kisutch,Salmons trouts smelts,23,43634.21567,Silver salmon,Oncorhynchus,Salmoninae,Salmonidae,Salmoniformes,Actinopterygii,Osteichthyes
Oncorhynchus kisutch,Salmons trouts smelts,23,43634.21567,White salmon,Oncorhynchus,Salmoninae,Salmonidae,Salmoniformes,Actinopterygii,Osteichthyes
Oncorhynchus masou masou,Salmons trouts smelts,23,2557.79455,NA,NA,NA,NA,NA,NA,NA
Oncorhynchus nerka,Salmons trouts smelts,23,301641.63451,Blueback salmon,Oncorhynchus,Salmoninae,Salmonidae,Salmoniformes,Actinopterygii,Osteichthyes
Oncorhynchus nerka,Salmons trouts smelts,23,301641.63451,Fraser river salmon,Oncorhynchus,Salmoninae,Salmonidae,Salmoniformes,Actinopterygii,Osteichthyes
Oncorhynchus nerka,Salmons trouts smelts,23,301641.63451,Kennerly's salmon,Oncorhynchus,Salmoninae,Salmonidae,Salmoniformes,Actinopterygii,Osteichthyes
Oncorhynchus nerka,Salmons trouts smelts,23,301641.63451,Pygmy salmon,Oncorhynchus,Salmoninae,Salmonidae,Salmoniformes,Actinopterygii,Osteichthyes
Oncorhynchus nerka,Salmons trouts smelts,23,301641.63451,Pygmy sockeye salmon,Oncorhynchus,Salmoninae,Salmonidae,Salmoniformes,Actinopterygii,Osteichthyes
Oncorhynchus nerka,Salmons trouts smelts,23,301641.63451,Red salmon,Oncorhynchus,Salmoninae,Salmonidae,Salmoniformes,Actinopterygii,Osteichthyes
Oncorhynchus nerka,Salmons trouts smelts,23,301641.63451,Salmon,Oncorhynchus,Salmoninae,Salmonidae,Salmoniformes,Actinopterygii,Osteichthyes
Oncorhynchus nerka,Salmons trouts smelts,23,301641.63451,Sockeye salmon,Oncorhynchus,Salmoninae,Salmonidae,Salmoniformes,Actinopterygii,Osteichthyes
Oncorhynchus nerka,Salmons trouts smelts,23,301641.63451,Sock-eye salmon,Oncorhynchus,Salmoninae,Salmonidae,Salmoniformes,Actinopterygii,Osteichthyes
Oncorhynchus nerka,Salmons trouts smelts,23,301641.63451,Sockeye(=Red) salmon,Oncorhynchus,Salmoninae,Salmonidae,Salmoniformes,Actinopterygii,Osteichthyes
Oncorhynchus tshawytscha,Salmons trouts smelts,23,9159.14547,Chinook salmon,Oncorhynchus,Salmoninae,Salmonidae,Salmoniformes,Actinopterygii,Osteichthyes
Oncorhynchus tshawytscha,Salmons trouts smelts,23,9159.14547,Chinook(=Spring=King) salmon,Oncorhynchus,Salmoninae,Salmonidae,Salmoniformes,Actinopterygii,Osteichthyes
Oncorhynchus tshawytscha,Salmons trouts smelts,23,9159.14547,King salmon,Oncorhynchus,Salmoninae,Salmonidae,Salmoniformes,Actinopterygii,Osteichthyes
Oncorhynchus tshawytscha,Salmons trouts smelts,23,9159.14547,Kippered salmon,Oncorhynchus,Salmoninae,Salmonidae,Salmoniformes,Actinopterygii,Osteichthyes
Oncorhynchus tshawytscha,Salmons trouts smelts,23,9159.14547,Pacific salmon,Oncorhynchus,Salmoninae,Salmonidae,Salmoniformes,Actinopterygii,Osteichthyes
Oncorhynchus tshawytscha,Salmons trouts smelts,23,9159.14547,Pickled salmon,Oncorhynchus,Salmoninae,Salmonidae,Salmoniformes,Actinopterygii,Osteichthyes
Oncorhynchus tshawytscha,Salmons trouts smelts,23,9159.14547,Quinnat salmon,Oncorhynchus,Salmoninae,Salmonidae,Salmoniformes,Actinopterygii,Osteichthyes
Oncorhynchus tshawytscha,Salmons trouts smelts,23,9159.14547,Salmon,Oncorhynchus,Salmoninae,Salmonidae,Salmoniformes,Actinopterygii,Osteichthyes
Oncorhynchus tshawytscha,Salmons trouts smelts,23,9159.14547,Spring salmon,Oncorhynchus,Salmoninae,Salmonidae,Salmoniformes,Actinopterygii,Osteichthyes
Ophichthidae,Misc Finfishes,39,6075.47451,NA,NA,NA,NA,NA,NA,NA
Ophidiidae,Jacks mullets sauries,34,612.06861,NA,NA,NA,NA,NA,NA,NA
Ophiodon elongatus,Misc Finfishes,39,2350.08774,NA,Ophiodon,Ophiodontinae,Hexagrammidae,Scorpaeniformes,Actinopterygii,Osteichthyes
Opisthonema libertate,Herrings sardines anchovies,35,360175.53411,NA,Opisthonema,Dorosomatinae,Clupeidae,Clupeiformes,Actinopterygii,Osteichthyes
Opisthonema oglinum,Herrings sardines anchovies,35,13654.001260000001,NA,Opisthonema,Dorosomatinae,Clupeidae,Clupeiformes,Actinopterygii,Osteichthyes
Orcynopsis unicolor,Tunas bonitos billfishes,36,573.26633,NA,Orcynopsis,Scombrinae,Scombridae,Perciformes,Actinopterygii,Osteichthyes
Oreosomatidae,Jacks mullets sauries,34,7102.29356,NA,NA,NA,NA,NA,NA,NA
Orthopristis chrysoptera,Redfishes basses congers,33,3.1209,NA,Orthopristis,Haemulinae,Haemulidae,Perciformes,Actinopterygii,Osteichthyes
Osmeridae,Salmons trouts smelts,23,253.37114,NA,NA,NA,NA,NA,NA,NA
Osmerus eperlanus,Salmons trouts smelts,23,2097.79904,NA,Osmerus,NA,Osmeridae,Osmeriformes,Actinopterygii,Osteichthyes
Osmerus mordax mordax,Salmons trouts smelts,23,0.15949,NA,NA,NA,NA,NA,NA,NA
Ostraciidae,Redfishes basses congers,33,107.06777,NA,NA,NA,NA,NA,NA,NA
Ostrea,Oysters,53,1.83015,NA,NA,NA,NA,NA,NA,NA
Ostrea chilensis,Oysters,53,939.41503,NA,NA,NA,NA,NA,NA,NA
Ostrea edulis,Oysters,53,5216.25665,NA,NA,NA,NA,NA,NA,NA
Ostrea lutaria,Oysters,53,1270.34257,NA,NA,NA,NA,NA,NA,NA
Otolithes ruber,Redfishes basses congers,33,11143.77538,Longtooth salmon,Otolithes,NA,Sciaenidae,Perciformes,Actinopterygii,Osteichthyes
Otolithes ruber,Redfishes basses congers,33,11143.77538,Longtoothed salmon,Otolithes,NA,Sciaenidae,Perciformes,Actinopterygii,Osteichthyes
Otolithes ruber,Redfishes basses congers,33,11143.77538,Snapper salmon,Otolithes,NA,Sciaenidae,Perciformes,Actinopterygii,Osteichthyes
Oxynotus centrina,Sharks rays skates etc,38,54.57232,NA,Oxynotus,NA,Oxynotidae,Squaliformes,Elasmobranchii,Chondrichthyes
Pagellus,Redfishes basses congers,33,8613.21271,NA,NA,NA,NA,NA,NA,NA
Pagellus acarne,Redfishes basses congers,33,3971.7024499999998,NA,Pagellus,NA,Sparidae,Perciformes,Actinopterygii,Osteichthyes
Pagellus bellottii,Redfishes basses congers,33,12047.14645,NA,Pagellus,NA,Sparidae,Perciformes,Actinopterygii,Osteichthyes
Pagellus bogaraveo,Redfishes basses congers,33,864.03122,NA,Pagellus,NA,Sparidae,Perciformes,Actinopterygii,Osteichthyes
Pagellus erythrinus,Redfishes basses congers,33,27061.2129,NA,Pagellus,NA,Sparidae,Perciformes,Actinopterygii,Osteichthyes
Pagrus,Redfishes basses congers,33,7826.72299,NA,NA,NA,NA,NA,NA,NA
Pagrus auratus,Redfishes basses congers,33,30227.0264,NA,Pagrus,NA,Sparidae,Perciformes,Actinopterygii,Osteichthyes
Pagrus auriga,Redfishes basses congers,33,1.31373,NA,Pagrus,NA,Sparidae,Perciformes,Actinopterygii,Osteichthyes
Pagrus caeruleostictus,Redfishes basses congers,33,549.00784,NA,Pagrus,NA,Sparidae,Perciformes,Actinopterygii,Osteichthyes
Pagrus pagrus,Redfishes basses congers,33,12009.85691,NA,Pagrus,NA,Sparidae,Perciformes,Actinopterygii,Osteichthyes
Palaemon longirostris,Shrimps prawns,45,3.11002,NA,NA,NA,NA,NA,NA,NA
Palaemon serratus,Shrimps prawns,45,445.09354,NA,NA,NA,NA,NA,NA,NA
Palaemonidae,Shrimps prawns,45,49693.62019,NA,NA,NA,NA,NA,NA,NA
Palinuridae,Lobsters spiny-rock lobsters,43,2782.10562,NA,NA,NA,NA,NA,NA,NA
Palinurus,Lobsters spiny-rock lobsters,43,2221.54356,NA,NA,NA,NA,NA,NA,NA
Palinurus delagoae,Lobsters spiny-rock lobsters,43,18.91582,NA,NA,NA,NA,NA,NA,NA
Palinurus elephas,Lobsters spiny-rock lobsters,43,714.25944,NA,NA,NA,NA,NA,NA,NA
Palinurus gilchristi,Lobsters spiny-rock lobsters,43,763.42032,NA,NA,NA,NA,NA,NA,NA
Palinurus mauritanicus,Lobsters spiny-rock lobsters,43,4.0864,NA,NA,NA,NA,NA,NA,NA
Pampus,Mackerels snoeks cutlassfishes,37,369847.6994,NA,NA,NA,NA,NA,NA,NA
Pampus argenteus,Mackerels snoeks cutlassfishes,37,108500.08374,NA,Pampus,NA,Stromateidae,Perciformes,Actinopterygii,Osteichthyes
Pandalidae,Shrimps prawns,45,93.88659,NA,NA,NA,NA,NA,NA,NA
Pandalus,Shrimps prawns,45,485.80667,NA,NA,NA,NA,NA,NA,NA
Pandalus borealis,Shrimps prawns,45,264747.74022,NA,NA,NA,NA,NA,NA,NA
Pandalus goniurus,Shrimps prawns,45,7965.16125,NA,NA,NA,NA,NA,NA,NA
Pandalus hypsinotus,Shrimps prawns,45,3523.52519,NA,NA,NA,NA,NA,NA,NA
Pandalus jordani,Shrimps prawns,45,17306.88234,NA,NA,NA,NA,NA,NA,NA
Pandalus kessleri,Shrimps prawns,45,71.22157,NA,NA,NA,NA,NA,NA,NA
Pandalus montagui,Shrimps prawns,45,3064.09462,NA,NA,NA,NA,NA,NA,NA
Panopea abrupta,Clams cockles arkshells,56,6646.91092,NA,NA,NA,NA,NA,NA,NA
Panulirus,Lobsters spiny-rock lobsters,43,85579.26834,NA,NA,NA,NA,NA,NA,NA
Panulirus argus,Lobsters spiny-rock lobsters,43,51304.11192,NA,NA,NA,NA,NA,NA,NA
Panulirus cygnus,Lobsters spiny-rock lobsters,43,13960.61099,NA,NA,NA,NA,NA,NA,NA
Panulirus gracilis,Shrimps prawns,45,140.58347,NA,NA,NA,NA,NA,NA,NA
Panulirus homarus,Lobsters spiny-rock lobsters,43,959.16612,NA,NA,NA,NA,NA,NA,NA
Panulirus longipes,Lobsters spiny-rock lobsters,43,2346.83475,NA,NA,NA,NA,NA,NA,NA
Paphia,Clams cockles arkshells,56,260.06523,NA,NA,NA,NA,NA,NA,NA
