"iso3c","country","origin","cum_pressure_prop_final","cum_pressure_percent_final"
"MSR","Montserrat","freshwater",0.000451963642058346,0.05
"MSR","Montserrat","land",0.807987404443091,80.8
"MSR","Montserrat","marine",0.191560631914851,19.16
"MTQ","Martinique","freshwater",0.000697776442588278,0.07
"MTQ","Martinique","land",0.955064057951383,95.51
"MTQ","Martinique","marine",0.0442381656060286,4.42
"MUS","Mauritius","freshwater",0,0
"MUS","Mauritius","land",0.677568298928822,67.76
"MUS","Mauritius","marine",0.322431701071178,32.24
"MWI","Malawi","freshwater",0.000787654065628252,0.08
"MWI","Malawi","land",0.999212345934372,99.92
"MWI","Malawi","marine",0,0
"MYS","Malaysia","freshwater",0.0015616512654801,0.16
"MYS","Malaysia","land",0.505183047858721,50.52
"MYS","Malaysia","marine",0.493255300875799,49.33
"MYT","Mayotte","freshwater",0.000824278877160029,0.08
"MYT","Mayotte","land",0.629164240915445,62.92
"MYT","Mayotte","marine",0.370011480207395,37
"NAM","Namibia","freshwater",0.00243630844692738,0.24
"NAM","Namibia","land",0.57981400705915,57.98
"NAM","Namibia","marine",0.417749684493923,41.77
"NCL","New Caledonia","freshwater",0.00746164602088348,0.75
"NCL","New Caledonia","land",0.71612566550549,71.61
"NCL","New Caledonia","marine",0.276412688473626,27.64
"NER","Niger","freshwater",0.000834088554729933,0.08
"NER","Niger","land",0.99916591144527,99.92
"NER","Niger","marine",0,0
"NFK","Norfolk Island","freshwater",0.000224369445877685,0.02
"NFK","Norfolk Island","land",0.25856241942755,25.86
"NFK","Norfolk Island","marine",0.741213211126573,74.12
"NGA","Nigeria","freshwater",0.000908006731439616,0.09
"NGA","Nigeria","land",0.964500508065211,96.45
"NGA","Nigeria","marine",0.034591485203349,3.46
"NIC","Nicaragua","freshwater",0.00164559869617856,0.16
"NIC","Nicaragua","land",0.940891502928934,94.09
"NIC","Nicaragua","marine",0.0574628983748873,5.75
"NIU","Niue","freshwater",0,0
"NIU","Niue","land",0.790431910979988,79.04
"NIU","Niue","marine",0.209568089020012,20.96
"NLD","Netherlands","freshwater",0.000328416004464102,0.03
"NLD","Netherlands","land",0.761500354857172,76.15
"NLD","Netherlands","marine",0.238171229138364,23.82
"NOR","Norway","freshwater",0.00164442238592157,0.16
"NOR","Norway","land",0.114411850396518,11.44
"NOR","Norway","marine",0.883943727217561,88.39
"NPL","Nepal","freshwater",0.00102353410057656,0.1
"NPL","Nepal","land",0.998976465899423,99.9
"NPL","Nepal","marine",0,0
"NRU","Nauru","freshwater",9.62167440031308e-05,0.01
"NRU","Nauru","land",0.0578892644172116,5.79
"NRU","Nauru","marine",0.942014518838785,94.2
"NZL","New Zealand","freshwater",0.000986944559885851,0.1
"NZL","New Zealand","land",0.833138519575423,83.31
"NZL","New Zealand","marine",0.165874535864691,16.59
"OMN","Oman","freshwater",0.00116822796919359,0.12
"OMN","Oman","land",0.396925130514627,39.69
"OMN","Oman","marine",0.60190664151618,60.19
"PAK","Pakistan","freshwater",0.000287306372048685,0.03
"PAK","Pakistan","land",0.987148263715524,98.71
"PAK","Pakistan","marine",0.0125644299124273,1.26
"PAN","Panama","freshwater",0.00279646152342565,0.28
"PAN","Panama","land",0.861244916048011,86.12
"PAN","Panama","marine",0.135958622428563,13.6
"PCN","Pitcairn Islands","freshwater",0,0
"PCN","Pitcairn Islands","land",0,0
"PCN","Pitcairn Islands","marine",1,100
"PER","Peru","freshwater",0.00590390648402013,0.59
"PER","Peru","land",0.70133819903567,70.13
"PER","Peru","marine",0.29275789448031,29.28
"PHL","Philippines","freshwater",0.000632044513257175,0.06
"PHL","Philippines","land",0.787631908932677,78.76
"PHL","Philippines","marine",0.211736046554066,21.17
"PLW","Palau","freshwater",0.000737609977521699,0.07
"PLW","Palau","land",0.0141754329002027,1.42
"PLW","Palau","marine",0.985086957122276,98.51
"PNG","Papua New Guinea","freshwater",0.013234480791909,1.32
"PNG","Papua New Guinea","land",0.558655556839897,55.87
"PNG","Papua New Guinea","marine",0.428109962368194,42.81
"POL","Poland","freshwater",0.000741621715861546,0.07
